month,rank,word,frequency
2025-11,1,湾区,32
2025-11,2,创新,27
2025-11,3,十五运会,23
2025-11,4,体育,22
2025-11,5,国有,21
2025-11,6,用地,21
2025-11,7,使用权,21
2025-11,8,出让,21
2025-11,9,重要讲话,19
2025-11,10,全球,19
2025-12,1,经济,26
2025-12,2,创新,24
2025-12,3,AI,21
2025-12,4,消费,20
2025-12,5,大湾区,20
2025-12,6,全国,19
2025-12,7,高质量发展,19
2025-12,8,金融,18
2025-12,9,打造,17
2025-12,10,世界,17
2026-01,1,人大,25
2026-01,2,开局,24
2026-01,3,经济,22
2026-01,4,全国,22
2026-01,5,创新,19
2026-01,6,全力以赴,19
2026-01,7,十六届,18
2026-01,8,文化,18
2026-01,9,现代化,17
2026-01,10,广货,17
2026-02,1,新春,45
2026-02,2,春节,34
2026-02,3,广货,17
2026-02,4,全国,16
2026-02,5,中央,14
2026-02,6,高质量发展,13
2026-02,7,融合,13
2026-02,8,打造,13
2026-02,9,党组,12
2026-02,10,文化,12
2026-03,1,AI,29
2026-03,2,全国,28
2026-03,3,十四届,26
2026-03,4,创新,25
2026-03,5,四次会议,24
2026-03,6,两会,24
2026-03,7,经济,22
2026-03,8,高质量发展,20
2026-03,9,全球,16
2026-03,10,消费,15
2026-04,1,广交会,31
2026-04,2,经济,26
2026-04,3,安全,23
2026-04,4,AI,23
2026-04,5,合作,22
2026-04,6,全球,21
2026-04,7,高质量发展,19
2026-04,8,全国,17
2026-04,9,平台,15
2026-04,10,假期,15
